    preflight: governor=performance thp=[always] mem_avail=14524MiB swap_used=599MiB gpu=17MiB,43,P8
    big tensor: per_layer_token_embd.weight 3127 MiB
    arch: qwen4exp | tensors: 1022
placement: -ot exps=CPU -ot ^(per_layer_token_embd\.weight)$=CPU
##### whittle_q2k_c0
    preflight: governor=performance thp=[always] mem_avail=14392MiB swap_used=599MiB gpu=17MiB,42,P8
whittle_q2k_c0 code    223 tok | wall 25.62 t/s | decode 29.46 t/s | prefill   37.3 t/s | accept -               | vram 1710 MiB | '```python\nfrom collections import OrderedDict\n\nc'
  mmlu_pro/8392                ok   949 tok  34.91 t/s stop
  mmlu_pro/8397                BAD 2048 tok  34.38 t/s length
  mmlu_pro/8402                BAD  420 tok  35.12 t/s stop
  mmlu_pro/8412                BAD 2048 tok  33.52 t/s length
  mmlu_pro/8417                BAD 1035 tok  34.50 t/s stop
  mmlu_pro/8422                BAD 2048 tok  33.86 t/s length
  mmlu_pro/8432                ok   463 tok  34.52 t/s stop
  mmlu_pro/8437                ok   155 tok  34.43 t/s stop
  mmlu_pro/8442                BAD   86 tok  33.88 t/s stop
  mmlu_pro/9213                ok    65 tok  34.33 t/s stop
  mmlu_pro/9218                BAD 1983 tok  33.66 t/s stop
  mmlu_pro/9223                BAD 2048 tok  34.11 t/s length
  mmlu_pro/9233                BAD  578 tok  34.18 t/s stop
  mmlu_pro/9238                ok   327 tok  34.86 t/s stop
  mmlu_pro/9243                BAD 2048 tok  34.33 t/s length
  mmlu_pro/9253                ok   100 tok  33.93 t/s stop
  mmlu_pro/9258                BAD  252 tok  34.10 t/s stop
  mmlu_pro/9263                ok   234 tok  34.49 t/s stop
  mmlu_pro/9273                BAD 2048 tok  34.76 t/s length
  mmlu_pro/9278                BAD  388 tok  34.66 t/s stop
  mmlu_pro/9283                BAD  275 tok  34.23 t/s stop
  mmlu_pro/9293                ok   367 tok  34.48 t/s stop
  mmlu_pro/9298                BAD 2048 tok  35.22 t/s length
  mmlu_pro/9303                BAD   52 tok  33.59 t/s stop
  mmlu_pro/10078               ok   215 tok  33.99 t/s stop
  mmlu_pro/10083               ok   446 tok  34.25 t/s stop
  mmlu_pro/10089               ok   247 tok  34.50 t/s stop
  mmlu_pro/10099               ok  1136 tok  33.89 t/s stop
  mmlu_pro/10104               ok   256 tok  34.16 t/s stop
  mmlu_pro/10110               BAD 2048 tok  34.56 t/s length
  mmlu_pro/10121               BAD  116 tok  33.64 t/s stop
  mmlu_pro/10126               BAD 2048 tok  34.17 t/s length
  mmlu_pro/10131               ok   256 tok  34.02 t/s stop
  mmlu_pro/10141               ok   127 tok  33.71 t/s stop
  mmlu_pro/10146               ok   305 tok  34.24 t/s stop
  mmlu_pro/10151               ok   310 tok  34.28 t/s stop
  mmlu_pro/10161               BAD 2048 tok  33.58 t/s length
  mmlu_pro/10166               ok    65 tok  34.06 t/s stop
  mmlu_pro/10171               ok    66 tok  33.56 t/s stop
  mmlu_pro/10955               BAD  483 tok  36.00 t/s stop
  mmlu_pro/10961               BAD   20 tok  31.77 t/s stop
  mmlu_pro/10966               ok    22 tok  33.55 t/s stop
  mmlu_pro/10976               ok    58 tok  33.63 t/s stop
  mmlu_pro/10982               BAD   72 tok  33.94 t/s stop
  mmlu_pro/10987               BAD  670 tok  33.25 t/s stop
  mmlu_pro/10998               ok    39 tok  32.97 t/s stop
  mmlu_pro/11003               ok    52 tok  34.02 t/s stop
  mmlu_pro/11008               ok    47 tok  34.46 t/s stop
  mmlu_pro/11018               BAD  168 tok  34.03 t/s stop
  mmlu_pro/11023               BAD   61 tok  34.31 t/s stop
  mmlu_pro/11029               ok    88 tok  34.48 t/s stop
  mmlu_pro/11039               BAD   64 tok  33.99 t/s stop
  mmlu_pro/11044               ok    46 tok  33.98 t/s stop
  mmlu_pro/11049               BAD   80 tok  33.61 t/s stop
  mmlu_pro/11825               BAD 2048 tok  34.36 t/s length
  mmlu_pro/11830               BAD 2048 tok  33.44 t/s length
  mmlu_pro/11835               ok   334 tok  34.62 t/s stop
  mmlu_pro/11845               ok   105 tok  34.19 t/s stop
  mmlu_pro/11850               BAD 2048 tok  34.47 t/s length
  mmlu_pro/11855               BAD  128 tok  34.55 t/s stop
  mmlu_pro/11865               BAD  513 tok  34.30 t/s stop
  mmlu_pro/11870               BAD 1242 tok  34.59 t/s stop
  mmlu_pro/11875               BAD 2048 tok  34.17 t/s length
  mmlu_pro/11886               BAD 2048 tok  34.30 t/s length
  mmlu_pro/11891               BAD   49 tok  34.64 t/s stop
  mmlu_pro/11896               BAD  423 tok  34.36 t/s stop
  mmlu_pro/11906               BAD 2048 tok  34.05 t/s length
  mmlu_pro/11911               BAD  229 tok  33.84 t/s stop
  mmlu_pro/11916               BAD  323 tok  34.17 t/s stop
QUALITY[whittle_q2k] think=off | gsm8k  81.5% +- 2.7 (n=200) | mmlu_pro  43.6% +- 3.0 (n=280) | mean 325 tok, 33.9 t/s | truncated 38 | empty 0 | 5751s
    telemetry[qual_whittle_q2k]: GPU util avg  86% max 100% | power avg  76W max  91W /100W | PCIe->GPU avg  1.61 max 11.41 GB/s (~13 cap) | CPU busy  539% of 1200% | DRAM read avg   7.3 max  12.8 GB/s (~38 cap)
    vram: 2588 MiB
WHITTLE1_DONE
